ID_TRANSVERSAL,TRANSVERSAL,ID_RAMO,DESC_RAMO,ID_UR,DESC_UR,GPO_FUNCIONAL,DESC_GPO_FUNCIONAL,ID_FUNCION,DESC_FUNCION,ID_SUBFUNCION,DESC_SUBFUNCION,ID_REASIGNACION,DESC_REASIGNACION,ID_AI,DESC_AI,ID_MODALIDAD,DESC_MODALIDAD,ID_PP,DESC_PP,ID_PARTIDA_ESPECIFICA,DESC_PARTIDA_ESPECIFICA,ID_TIPOGASTO,DESC_TIPOGASTO,ID_FF,ID_ENTIDAD_FEDERATIVA,ENTIDAD_FEDERATIVA,MUNICIPIO,ID_CLAVE_CARTERA,ID_VERTIENTE,VERTIENTE,ID_PROGRAMA_PEC,PROGRAMA_PEC,ID_COMPONENTE_PEC,COMPONENTE_PEC,ID_SUBCOMPONENTE_PEC,SUBCOMPONENTE_PEC,ID_RAMA_PRODUCTIVA,RAMA_PRODUCTIVA,IMPORTE,IMPORTE _ENERO,IMPORTE _FEBRERO,IMPORTE _MARZO,IMPORTE_ABRIL,IMPORTE _MAYO,IMPORTE _JUNIO,IMPORTE _JULIO,IMPORTE _AGOSTO,IMPORTE _SEPTIEMBRE,IMPORTE _OCTUBRE,IMPORTE _NOVIEMBRE,IMPORTE _DICIEMBRE
1,Erogaciones para el Desarrollo Integral de los Pueblos y Comunidades Indígenas,8,Agricultura y Desarrollo Rural,VST,"Liconsa, S.A. de C.V.",3,Desarrollo Económico,9,Otras Industrias y Otros Asuntos Económicos,1,"Comercio, Distribución, Almacenamiento y Depósito",0,Otros,11,Atención de la población urbana y rural en pobreza,S,Sujetos a Reglas de Operación,52,"Programa de Abasto Social de Leche a cargo de Liconsa, S.A. de C.V.",43701,Subsidios al consumo,1,Gasto corriente,1,16,Michoacán,NA,0,0,No aplica,0,No aplica,0,No aplica,0,No aplica,0,No aplica,13130842.12,2231361.88,1806340.58,1555191.66,763106.52,1574510.74,1777361.96,2067149.04,1355819.74,0,0,0,0
1,Erogaciones para el Desarrollo Integral de los Pueblos y Comunidades Indígenas,11,Educación Pública,MEY,Organismo Coordinador de las Universidades para el Bienestar Benito Juárez García,2,Desarrollo Social,5,Educación,3,Educación Superior,0,Otros,5,Educación superior de calidad,U,Otros Subsidios,83,Universidades para el Bienestar Benito Juárez García,44102,Gastos por servicios de traslado de personas,1,Gasto corriente,1,16,Michoacán,NA,0,0,No aplica,0,No aplica,0,No aplica,0,No aplica,0,No aplica,236967.75,17247.3,23247.3,23247.3,17247.3,17247.3,23247.3,23247.3,23247.45,17247.3,17247.3,17247.3,17247.3
1,Erogaciones para el Desarrollo Integral de los Pueblos y Comunidades Indígenas,11,Educación Pública,MEY,Organismo Coordinador de las Universidades para el Bienestar Benito Juárez García,2,Desarrollo Social,5,Educación,3,Educación Superior,0,Otros,5,Educación superior de calidad,U,Otros Subsidios,83,Universidades para el Bienestar Benito Juárez García,44105,Apoyo a voluntarios que participan en diversos programas federales,1,Gasto corriente,1,16,Michoacán,NA,0,0,No aplica,0,No aplica,0,No aplica,0,No aplica,0,No aplica,64627560.6,7500000,7500000,7500000,7500000,7500000,7500000,10500000,9127560.6,0,0,0,0
1,Erogaciones para el Desarrollo Integral de los Pueblos y Comunidades Indígenas,16,Medio Ambiente y Recursos Naturales,B00,Comisión Nacional del Agua,2,Desarrollo Social,2,Vivienda y Servicios a la Comunidad,3,Abastecimiento de Agua,0,Otros,3,Manejo eficiente y sustentable del agua y prevención de inundaciones,K,Proyectos de Inversión,7,"Infraestructura de agua potable, alcantarillado y saneamiento",62302,"Mantenimiento y rehabilitación de obras para el abastecimiento de agua, petróleo, gas, electricidad y telecomunicaciones",3,Gasto de obra pública,1,16,Michoacán,NA,2216B000057,0,No aplica,0,No aplica,0,No aplica,0,No aplica,0,No aplica,19400000,0,0,0,0,5000000,1000000,4000000,2400000,500000,3500000,3000000,0
1,Erogaciones para el Desarrollo Integral de los Pueblos y Comunidades Indígenas,16,Medio Ambiente y Recursos Naturales,B00,Comisión Nacional del Agua,2,Desarrollo Social,1,Protección Ambiental,3,"Ordenación de Aguas Residuales, Drenaje y Alcantarillado",0,Otros,3,Manejo eficiente y sustentable del agua y prevención de inundaciones,S,Sujetos a Reglas de Operación,74,"Agua Potable, Drenaje y Tratamiento",43801,Subsidios a Entidades Federativas y Municipios,2,Gasto de capital diferente de obra pública,1,16,Michoacán,NA,0,0,No aplica,0,No aplica,0,No aplica,0,No aplica,0,No aplica,3887201.928,0,0,0,2115000,0,141000,282000,282000,423000,282000,362201.93,0
1,Erogaciones para el Desarrollo Integral de los Pueblos y Comunidades Indígenas,16,Medio Ambiente y Recursos Naturales,B00,Comisión Nacional del Agua,2,Desarrollo Social,2,Vivienda y Servicios a la Comunidad,3,Abastecimiento de Agua,0,Otros,3,Manejo eficiente y sustentable del agua y prevención de inundaciones,S,Sujetos a Reglas de Operación,74,"Agua Potable, Drenaje y Tratamiento",43801,Subsidios a Entidades Federativas y Municipios,2,Gasto de capital diferente de obra pública,1,16,Michoacán,NA,0,0,No aplica,0,No aplica,0,No aplica,0,No aplica,0,No aplica,4907702.525,0,0,0,2578850.29,0,178000,534000,400500,712000,222500,281852.23,0
1,Erogaciones para el Desarrollo Integral de los Pueblos y Comunidades Indígenas,16,Medio Ambiente y Recursos Naturales,B00,Comisión Nacional del Agua,3,Desarrollo Económico,2,"Agropecuaria, Silvicultura, Pesca y Caza",5,Hidroagrícola,0,Otros,3,Manejo eficiente y sustentable del agua y prevención de inundaciones,S,Sujetos a Reglas de Operación,217,Programa de Apoyo a la Infraestructura Hidroagrícola,43301,Subsidios para inversión,2,Gasto de capital diferente de obra pública,1,16,Michoacán,NA,0,0,No aplica,0,No aplica,0,No aplica,0,No aplica,0,No aplica,9678231.68,0,0,0,0,967823.22,1451734.7,1451734.7,1935646.31,1935646.31,1451734.7,483911.74,0
1,Erogaciones para el Desarrollo Integral de los Pueblos y Comunidades Indígenas,33,Aportaciones Federales para Entidades Federativas y Municipios,416,"Dirección General de Programación y Presupuesto ""A""",2,Desarrollo Social,2,Vivienda y Servicios a la Comunidad,7,Desarrollo Regional,0,Otros,5,Fondo de Aportaciones para la Infraestructura Social,I,Gasto Federalizado,4,FAIS Municipal y de las Demarcaciones Territoriales del Distrito Federal,83104,Aportaciones federales a las entidades federativas y municipios para gastos de inversión,3,Gasto de obra pública,1,16,Michoacán,NA,0,0,No aplica,0,No aplica,0,No aplica,0,No aplica,0,No aplica,359699270.2,35969927.07,35969927.07,35969927.07,35969927.07,35969927.07,35969927.07,35969927.07,35969927.07,35969927.07,35969926.58,0,0
1,Erogaciones para el Desarrollo Integral de los Pueblos y Comunidades Indígenas,33,Aportaciones Federales para Entidades Federativas y Municipios,416,"Dirección General de Programación y Presupuesto ""A""",2,Desarrollo Social,6,Protección Social,8,Otros Grupos Vulnerables,0,Otros,7,Fondo de Aportaciones Múltiples,I,Gasto Federalizado,6,FAM Asistencia Social,83103,Aportaciones federales a las entidades federativas y municipios para gastos de operación,1,Gasto corriente,1,16,Michoacán,NA,0,0,No aplica,0,No aplica,0,No aplica,0,No aplica,0,No aplica,157814378.3,13151198.28,13151198.28,13151198.28,13151198.28,13151198.28,13151198.28,13151198.28,13151198.28,13151198.28,13151198.28,13151198.28,13151197.18
1,Erogaciones para el Desarrollo Integral de los Pueblos y Comunidades Indígenas,47,Entidades no Sectorizadas,AYB,Instituto Nacional de los Pueblos Indígenas,2,Desarrollo Social,6,Protección Social,7,Indígenas,0,Otros,16,Promoción y coordinación de las políticas públicas para el desarrollo de los pueblos y comunidades indígenas,P,"Planeación, seguimiento y evaluación de políticas públicas",13,Planeación y Articulación de la Acción Pública hacia los Pueblos Indígenas,21501,Material de apoyo informativo,1,Gasto corriente,1,16,Michoacán,NA,0,0,No aplica,0,No aplica,0,No aplica,0,No aplica,0,No aplica,3498,0,0,0,0,0,0,0,0,3498,0,0,0
